,LCLid,energy(kWh/hh)
664,MAC002136,0
665,MAC002136,0
666,MAC002136,0
667,MAC002136,0
668,MAC002136,0
669,MAC002136,0
670,MAC002136,0
671,MAC002136,0
672,MAC002136,0
673,MAC002136,0
674,MAC002136,0
675,MAC002136,0
676,MAC002136,0
677,MAC002136,0
678,MAC002136,0
679,MAC002136,0
680,MAC002136,0
681,MAC002136,0
682,MAC002136,0
683,MAC002136,0
684,MAC002136,0
685,MAC002136,0
686,MAC002136,0
687,MAC002136,0
688,MAC002136,0
689,MAC002136,0
690,MAC002136,0
691,MAC002136,0
692,MAC002136,0
693,MAC002136,0
694,MAC002136,0
695,MAC002136,0
696,MAC002136,0
697,MAC002136,0
698,MAC002136,0
699,MAC002136,0
700,MAC002136,0
701,MAC002136,0
702,MAC002136,0
703,MAC002136,0
704,MAC002136,0
705,MAC002136,0
706,MAC002136,0
707,MAC002136,0
708,MAC002136,0
709,MAC002136,0
710,MAC002136,0
711,MAC002136,0
712,MAC002136,0
713,MAC002136,0
714,MAC002136,0
715,MAC002136,0
716,MAC002136,0
717,MAC002136,0
718,MAC002136,0
719,MAC002136,0
720,MAC002136,0
721,MAC002136,0
722,MAC002136,0
723,MAC002136,0
724,MAC002136,0
725,MAC002136,0
726,MAC002136,0
727,MAC002136,0
728,MAC002136,0
729,MAC002136,0
730,MAC002136,0
731,MAC002136,0
732,MAC002136,0
733,MAC002136,0
734,MAC002136,0
735,MAC002136,0
736,MAC002136,0
737,MAC002136,0
738,MAC002136,0
739,MAC002136,0
740,MAC002136,0
741,MAC002136,0
742,MAC002136,0
743,MAC002136,0
744,MAC002136,0
745,MAC002136,0
746,MAC002136,0
747,MAC002136,0
748,MAC002136,0
749,MAC002136,0
750,MAC002136,0
751,MAC002136,0
752,MAC002136,0
753,MAC002136,0
754,MAC002136,0
755,MAC002136,0
756,MAC002136,0
757,MAC002136,0
758,MAC002136,0
759,MAC002136,0
760,MAC002136,0
761,MAC002136,0
762,MAC002136,0
763,MAC002136,0
764,MAC002136,0
765,MAC002136,0
766,MAC002136,0
767,MAC002136,0
768,MAC002136,0
769,MAC002136,0
770,MAC002136,0
771,MAC002136,0
772,MAC002136,0
773,MAC002136,0
774,MAC002136,0
775,MAC002136,0
776,MAC002136,0
777,MAC002136,0
778,MAC002136,0
779,MAC002136,0
780,MAC002136,0
781,MAC002136,0
782,MAC002136,0
783,MAC002136,0
784,MAC002136,0
785,MAC002136,0
786,MAC002136,0
787,MAC002136,0
788,MAC002136,0
789,MAC002136,0
790,MAC002136,0
791,MAC002136,0
792,MAC002136,0
793,MAC002136,0
794,MAC002136,0
795,MAC002136,0
796,MAC002136,0
797,MAC002136,0
798,MAC002136,0
799,MAC002136,0
800,MAC002136,0
801,MAC002136,0
802,MAC002136,0
803,MAC002136,0
804,MAC002136,0
805,MAC002136,0
806,MAC002136,0
807,MAC002136,0
808,MAC002136,0
809,MAC002136,0
810,MAC002136,0
811,MAC002136,0
812,MAC002136,0
813,MAC002136,0
814,MAC002136,0
815,MAC002136,0
816,MAC002136,0
817,MAC002136,0
818,MAC002136,0
819,MAC002136,0
820,MAC002136,0
821,MAC002136,0
822,MAC002136,0
823,MAC002136,0
824,MAC002136,0
825,MAC002136,0
826,MAC002136,0
827,MAC002136,0
828,MAC002136,0
829,MAC002136,0
830,MAC002136,0
