tstp,CO
2018/1/26,0.21
2018/1/26,0.22
2018/1/26,0.28
2018/1/26,0.29
2018/1/26,0.3
2018/1/26,0.29
2018/1/26,0.3
2018/1/26,0.27
2018/1/26,0.26
2018/1/27,0.24
2018/1/27,0.21
2018/1/27,0.18
2018/1/27,0.18
2018/1/27,0.19
2018/1/27,0.17
2018/1/27,0.18
2018/1/27,0.23
2018/1/27,0.25
2018/1/27,0.24
2018/1/27,0.29
2018/1/27,0.32
2018/1/27,0.3
2018/1/27,0.23
2018/1/27,0.21
2018/1/27,0.21
2018/1/27,0.22
2018/1/27,0.28
2018/1/27,0.28
2018/1/27,0.24
2018/1/27,0.32
2018/1/27,0.29
2018/1/27,0.21
2018/1/27,0.2
2018/1/28,0.18
2018/1/28,0.19
2018/1/28,0.18
2018/1/28,0.21
2018/1/28,0.2
2018/1/28,0.19
2018/1/28,0.22
2018/1/28,0.24
2018/1/28,0.25
2018/1/28,0.24
2018/1/28,0.24
2018/1/28,0.24
2018/1/28,0.26
2018/1/28,0.24
2018/1/28,0.24
2018/1/28,0.25
2018/1/28,0.25
2018/1/28,0.26
2018/1/28,0.24
2018/1/28,0.24
2018/1/28,0.25
2018/1/28,0.25
2018/1/28,0.24
2018/1/28,0.21
2018/1/29,0.19
2018/1/29,0.2
2018/1/29,0.2
2018/1/29,0.21
2018/1/29,0.22
2018/1/29,0.22
2018/1/29,0.25
2018/1/29,0.31
2018/1/29,0.34
2018/1/29,0.35
2018/1/29,0.36
2018/1/29,0.38
2018/1/29,0.38
2018/1/29,0.37
2018/1/29,0.41
2018/1/29,0.45
2018/1/29,0.51
2018/1/29,0.54
2018/1/29,0.55
2018/1/29,0.59
2018/1/29,0.61
2018/1/29,0.58
2018/1/29,0.55
2018/1/29,0.51
2018/1/30,0.49
2018/1/30,0.43
2018/1/30,0.43
2018/1/30,0.39
2018/1/30,0.33
2018/1/30,0.26
2018/1/30,0.25
2018/1/30,0.3
2018/1/30,0.33
2018/1/30,0.31
2018/1/30,0.31
2018/1/30,0.37
2018/1/30,0.36
2018/1/30,0.31
2018/1/30,0.31
2018/1/30,0.35
2018/1/30,0.34
2018/1/30,0.38
2018/1/30,0.37
2018/1/30,0.39
2018/1/30,0.37
2018/1/30,0.44
2018/1/30,0.43
2018/1/30,0.43
2018/1/31,0.42
2018/1/31,0.41
2018/1/31,0.34
2018/1/31,0.3
2018/1/31,0.31
2018/1/31,0.33
2018/1/31,0.36
2018/1/31,0.45
2018/1/31,0.47
2018/1/31,0.38
2018/1/31,0.35
2018/1/31,0.38
2018/1/31,0.36
2018/1/31,0.34
2018/1/31,0.32
2018/1/31,0.32
2018/1/31,0.31
2018/1/31,0.43
2018/1/31,0.43
2018/1/31,0.43
2018/1/31,0.46
2018/1/31,0.46
2018/1/31,0.44
2018/1/31,0.43
2018/2/1,0.4
2018/2/1,0.42
2018/2/1,0.51
2018/2/1,0.52
2018/2/1,0.44
2018/2/1,0.47
2018/2/1,0.51
2018/2/1,0.6
2018/2/1,0.63
2018/2/1,0.68
2018/2/1,0.69
2018/2/1,0.7
2018/2/1,0.72
2018/2/1,0.74
2018/2/1,0.71
2018/2/1,0.63
2018/2/1,0.58
2018/2/1,0.62
2018/2/1,0.66
2018/2/1,0.58
2018/2/1,0.56
2018/2/1,0.53
2018/2/1,0.46
2018/2/1,0.4
2018/2/2,0.35
2018/2/2,0.31
2018/2/2,0.3
2018/2/2,0.3
2018/2/2,0.31
2018/2/2,0.3
2018/2/2,0.31
2018/2/2,0.37
2018/2/2,0.34
2018/2/2,0.34
2018/2/2,0.35
2018/2/2,0.3
2018/2/2,0.28
2018/2/2,0.28
2018/2/2,0.27
2018/2/2,0.24
2018/2/2,0.28
2018/2/2,0.37
2018/2/2,0.34
2018/2/2,0.34
2018/2/2,0.33
2018/2/2,0.34
2018/2/2,0.33
2018/2/2,0.32
2018/2/3,0.31
2018/2/3,0.32
2018/2/3,0.33
2018/2/3,0.38
2018/2/3,0.39
2018/2/3,0.45
2018/2/3,0.56
2018/2/3,0.65
2018/2/3,0.65
2018/2/3,0.65
2018/2/3,0.65
2018/2/3,0.65
2018/2/3,0.65
2018/2/3,0.65
2018/2/3,0.65
2018/2/3,0.65
2018/2/3,0.65
2018/2/3,0.46
2018/2/3,0.41
2018/2/3,0.38
2018/2/3,0.34
2018/2/3,0.31
2018/2/3,0.3
2018/2/3,0.28
2018/2/4,0.26
2018/2/4,0.21
2018/2/4,0.2
2018/2/4,0.19
2018/2/4,0.19
2018/2/4,0.19
2018/2/4,0.19
2018/2/4,0.21
2018/2/4,0.24
2018/2/4,0.25
2018/2/4,0.28
2018/2/4,0.25
2018/2/4,0.24
2018/2/4,0.25
2018/2/4,0.24
2018/2/4,0.24
2018/2/4,0.23
2018/2/4,0.25
2018/2/4,0.23
2018/2/4,0.26
2018/2/4,0.25
2018/2/4,0.26
2018/2/4,0.25
2018/2/4,0.24
2018/2/5,0.24
2018/2/5,0.24
2018/2/5,0.23
2018/2/5,0.24
2018/2/5,0.22
2018/2/5,0.25
2018/2/5,0.3
2018/2/5,0.37
2018/2/5,0.37
2018/2/5,0.37
2018/2/5,0.37
2018/2/5,0.37
2018/2/5,0.37
2018/2/5,0.34
2018/2/5,0.3
2018/2/5,0.3
2018/2/5,0.29
2018/2/5,0.31
2018/2/5,0.3
2018/2/5,0.29
2018/2/5,0.28
2018/2/5,0.31
2018/2/5,0.32
2018/2/5,0.3
2018/2/6,0.3
2018/2/6,0.23
2018/2/6,0.25
2018/2/6,0.25
2018/2/6,0.26
2018/2/6,0.26
2018/2/6,0.26
2018/2/6,0.29
2018/2/6,0.29
2018/2/6,0.29
2018/2/6,0.28
2018/2/6,0.27
2018/2/6,0.24
2018/2/6,0.24
2018/2/6,0.24
2018/2/6,0.24
2018/2/6,0.27
2018/2/6,0.28
2018/2/6,0.29
2018/2/6,0.31
2018/2/6,0.31
2018/2/6,0.32
2018/2/6,0.31
2018/2/6,0.29
2018/2/7,0.27
2018/2/7,0.26
2018/2/7,0.27
2018/2/7,0.26
2018/2/7,0.27
2018/2/7,0.28
2018/2/7,0.29
2018/2/7,0.44
2018/2/7,0.46
2018/2/7,0.33
2018/2/7,0.43
2018/2/7,0.46
2018/2/7,0.46
2018/2/7,0.41
2018/2/7,0.44
2018/2/7,0.48
2018/2/7,0.49
2018/2/7,0.47
2018/2/7,0.56
2018/2/7,0.65
2018/2/7,0.57
2018/2/7,0.55
2018/2/7,0.53
2018/2/7,0.46
2018/2/8,0.33
2018/2/8,0.18
2018/2/8,0.19
2018/2/8,0.18
2018/2/8,0.17
2018/2/8,0.17
2018/2/8,0.19
2018/2/8,0.26
2018/2/8,0.26
2018/2/8,0.24
2018/2/8,0.25
2018/2/8,0.26
2018/2/8,0.26
2018/2/8,0.25
2018/2/8,0.25
2018/2/8,0.28
2018/2/8,0.31
2018/2/8,0.4
2018/2/8,0.41
2018/2/8,0.42
2018/2/8,0.4
2018/2/8,0.52
2018/2/8,0.67
2018/2/8,0.75
2018/2/9,0.87
2018/2/9,0.89
2018/2/9,0.84
2018/2/9,0.86
2018/2/9,0.81
2018/2/9,0.77
2018/2/9,0.79
2018/2/9,0.99
2018/2/9,1.25
2018/2/9,0.68
2018/2/9,0.34
2018/2/9,0.31
2018/2/9,0.31
2018/2/9,0.35
2018/2/9,0.37
2018/2/9,0.37
2018/2/9,0.41
2018/2/9,0.46
2018/2/9,0.47
2018/2/9,0.49
2018/2/9,0.47
2018/2/9,0.37
2018/2/9,0.43
2018/2/9,0.46
2018/2/10,0.4
2018/2/10,0.42
2018/2/10,0.41
2018/2/10,0.35
2018/2/10,0.31
2018/2/10,0.33
2018/2/10,0.33
2018/2/10,0.38
2018/2/10,0.37
2018/2/10,0.37
2018/2/10,0.4
2018/2/10,0.39
2018/2/10,0.36
2018/2/10,0.37
2018/2/10,0.3
2018/2/10,0.3
2018/2/10,0.32
2018/2/10,0.38
2018/2/10,0.37
2018/2/10,0.34
2018/2/10,0.34
2018/2/10,0.32
2018/2/10,0.34
2018/2/10,0.5
2018/2/11,0.4
2018/2/11,0.35
2018/2/11,0.37
2018/2/11,0.39
2018/2/11,0.41
2018/2/11,0.37
2018/2/11,0.38
2018/2/11,0.37
2018/2/11,0.33
2018/2/11,0.34
2018/2/11,0.33
2018/2/11,0.32
2018/2/11,0.32
2018/2/11,0.33
2018/2/11,0.34
2018/2/11,0.35
2018/2/11,0.36
2018/2/11,0.36
2018/2/11,0.36
2018/2/11,0.37
2018/2/11,0.37
2018/2/11,0.33
2018/2/11,0.31
2018/2/11,0.28
2018/2/12,0.27
2018/2/12,0.27
2018/2/12,0.28
2018/2/12,0.26
2018/2/12,0.25
2018/2/12,0.27
2018/2/12,0.29
2018/2/12,0.34
2018/2/12,0.35
2018/2/12,0.36
2018/2/12,0.35
2018/2/12,0.35
2018/2/12,0.31
2018/2/12,0.31
2018/2/12,0.31
2018/2/12,0.33
2018/2/12,0.38
2018/2/12,0.43
2018/2/12,0.44
2018/2/12,0.46
2018/2/12,0.42
2018/2/12,0.4
2018/2/12,0.41
2018/2/12,0.4
2018/2/13,0.38
2018/2/13,0.32
2018/2/13,0.31
2018/2/13,0.29
2018/2/13,0.28
2018/2/13,0.28
2018/2/13,0.31
2018/2/13,0.53
2018/2/13,0.51
2018/2/13,0.5
2018/2/13,0.5
2018/2/13,0.42
2018/2/13,0.38
2018/2/13,0.5
2018/2/13,0.56
2018/2/13,0.42
2018/2/13,0.34
2018/2/13,0.35
2018/2/13,0.34
2018/2/13,0.34
2018/2/13,0.36
2018/2/13,0.4
2018/2/13,0.46
2018/2/13,0.43
2018/2/14,0.4
2018/2/14,0.32
2018/2/14,0.33
2018/2/14,0.31
2018/2/14,0.33
2018/2/14,0.34
2018/2/14,0.37
2018/2/14,0.47
2018/2/14,0.59
2018/2/14,0.68
2018/2/14,0.73
2018/2/14,0.7
2018/2/14,0.54
2018/2/14,0.4
2018/2/14,0.37
2018/2/14,0.31
2018/2/14,0.34
2018/2/14,0.64
2018/2/14,1.12
2018/2/14,0.9
2018/2/14,0.73
2018/2/14,0.78
